20	16	16	14	14	14	18	14	12	14	14	12	14	14	18	14	18	14	14	14	12	18	16	18	18	20	18	12	14	18	14	14	14	14	18	12	14	14	18	14	14	14	14	14	14	14	18	14	18	14	14	14	18	14	14	14	14	14	14	14	12	14	14	12	16	14	14	14	18	14	14	14	14	14	14	14	14	12	14	14	14	14	14	18	18	18	16	14	18	14	14	14	18	14	16	18	16	16	14	14	14	14	14	14	14	14	18	18	14	16	14	14	14	14	14	16	14	14	16	18	14	12	14	16	18	18	14	12	18	14	14	18	14	16	14	16	14	14	14	14	14	14	14	14	14	14	16	14	14	14	16	14	14	14	12	14	14	18	14	16	14	14	14	14	14	14	14	14	14	16	16	18	16	14	14	14	14	14	14	18	14	14	14	14	14	14	14	14
16	20	14	12	12	16	18	12	14	12	12	14	12	12	18	12	18	12	12	12	10	18	12	18	18	16	18	10	12	18	12	12	12	12	18	16	12	12	18	12	12	12	18	12	12	12	18	12	16	12	12	12	18	12	12	12	12	14	12	12	14	16	12	14	14	12	12	18	18	16	16	16	12	12	12	16	12	10	18	12	16	16	18	18	18	18	12	14	18	18	12	16	18	16	14	18	14	14	12	16	12	14	12	12	16	16	18	18	12	20	12	18	12	12	12	20	12	12	14	18	12	10	12	20	18	18	16	10	18	16	18	18	12	14	16	14	12	16	16	16	12	12	12	16	12	12	14	12	12	16	14	12	12	12	10	18	16	18	12	14	12	18	12	16	12	16	12	16	16	20	14	18	14	16	16	12	16	12	12	16	16	12	12	12	12	12	12	12
16	14	22	20	18	18	16	14	18	14	18	12	14	14	16	18	16	16	14	14	12	16	14	16	16	16	14	12	16	16	16	16	16	16	16	14	14	16	16	18	16	18	16	16	18	18	16	18	16	16	16	16	16	18	16	18	16	16	16	18	14	16	18	14	18	16	18	16	14	16	16	16	16	14	16	16	16	14	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	18	14	18	16	16	16	16	18	16	18	16	16	16	16	18	14	18	16	16	18	16	14	16	16	18	16	16	16	16	14	16	16	16	16	14	16	16	14	18	18	16	18	16	16	16	16	16	16	16	16	18	18	20	16	18	16	18	16	16	16	14	16	16	16	16	16	16	16	14	16	18	16	16	16	16	14	18	16	18	16	16	16	16	16	16	18	16	16	16	16	16	16	16	16
14	12	20	22	16	16	14	16	20	16	16	14	16	16	14	16	14	14	12	12	12	14	12	14	14	14	12	10	14	14	14	14	14	14	14	12	16	14	14	16	14	16	14	14	16	16	14	16	14	14	14	14	14	16	14	16	14	14	14	16	14	14	16	14	16	14	16	14	12	14	14	14	14	12	14	14	14	14	14	14	14	14	14	14	14	14	18	14	14	14	14	14	14	14	16	12	16	14	14	14	14	16	14	16	14	14	14	14	16	12	16	14	14	16	14	12	14	14	16	14	14	14	14	12	14	14	14	14	12	14	14	12	18	16	14	16	14	14	14	14	14	14	14	14	16	18	18	14	16	14	16	14	14	14	12	14	14	14	14	14	14	14	12	14	16	14	14	14	14	12	16	14	16	14	14	14	14	14	14	16	14	14	14	14	14	14	14	14
14	12	18	16	22	16	14	14	14	14	20	12	14	14	14	20	14	18	16	16	14	14	16	14	14	14	12	14	18	14	20	18	18	20	14	16	14	20	14	22	18	20	16	18	22	22	14	22	14	18	18	20	14	22	18	22	18	16	18	22	16	16	22	16	18	18	22	16	12	16	16	16	18	16	18	16	18	16	16	18	16	16	16	14	14	14	16	16	14	16	18	16	14	16	16	12	18	18	18	16	18	18	18	22	16	16	14	14	22	12	22	16	18	22	18	12	20	18	18	14	20	18	20	12	14	14	16	18	12	16	16	12	14	18	16	18	20	16	16	16	20	18	20	16	22	14	20	20	22	16	18	18	18	20	16	16	16	14	18	16	20	16	16	16	22	16	18	16	16	12	18	14	18	16	16	18	16	20	20	16	16	20	18	20	18	18	18	20
14	16	18	16	16	22	14	12	18	12	16	14	12	12	14	16	14	16	12	12	10	14	12	14	14	14	16	12	14	14	14	16	16	14	14	16	12	14	14	16	16	18	18	16	16	16	14	16	14	14	16	14	14	16	16	16	16	16	14	16	16	18	16	16	16	14	16	18	16	20	18	18	14	12	14	18	14	12	18	14	18	18	18	14	14	14	14	16	14	18	14	18	14	18	18	16	16	14	14	18	14	18	14	16	18	18	14	14	16	16	16	18	14	16	14	16	14	14	16	14	14	14	14	16	14	14	18	14	16	18	18	16	14	16	18	16	14	18	18	18	14	14	14	18	16	14	18	14	16	18	16	14	14	14	12	18	18	14	14	14	14	18	12	18	16	18	14	18	18	16	16	14	16	18	18	16	18	14	14	16	18	14	14	14	14	14	14	14
18	18	16	14	14	14	22	16	12	16	14	14	16	16	22	14	20	14	14	14	12	20	14	20	20	18	16	12	14	20	14	14	14	14	20	14	16	14	20	14	14	14	16	14	14	14	20	14	18	14	14	14	20	14	14	14	14	14	14	14	12	14	14	12	16	14	14	16	16	14	14	14	14	14	14	14	14	12	16	14	14	14	16	20	20	20	14	14	20	16	14	14	20	14	18	16	16	16	14	14	14	14	14	14	14	14	20	20	14	18	14	16	14	14	14	18	14	14	16	20	14	12	14	18	20	20	14	12	16	14	16	16	14	16	14	16	14	14	14	14	14	14	14	14	14	14	16	14	14	14	16	14	14	14	12	16	14	20	14	16	14	16	14	14	14	14	14	14	14	18	16	20	16	14	14	14	14	14	14	18	14	14	14	14	14	14	14	14
14	12	14	16	14	12	16	22	14	22	12	20	22	22	16	12	14	14	14	16	16	14	14	14	14	14	12	12	14	14	14	14	14	14	14	12	22	14	14	14	14	12	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	16	14	14	14	12	14	14	14	14	16	14	14	14	14	14	14	14	14	14	14	14	14	18	14	14	14	14	14	14	14	16	12	16	12	14	14	14	14	14	14	14	14	14	14	14	12	14	14	14	14	14	12	14	14	16	14	14	12	14	12	14	14	14	12	12	14	14	12	14	16	14	16	14	14	14	14	14	14	14	14	14	14	16	14	14	14	16	14	14	14	12	14	14	14	14	18	14	14	16	14	14	14	14	14	14	12	16	14	16	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14
12	14	18	20	14	18	12	14	22	14	14	16	14	14	12	14	12	12	10	10	10	12	10	12	12	12	14	8	12	12	12	12	12	12	12	14	14	12	12	14	12	14	16	12	14	14	12	14	12	12	12	12	12	14	12	14	12	14	12	14	16	16	14	16	14	12	14	16	14	16	16	16	12	10	12	16	12	12	16	12	16	16	16	12	12	12	16	14	12	16	12	16	12	16	14	14	14	12	12	16	12	16	12	14	16	16	12	12	14	14	14	16	12	14	12	14	12	12	14	12	12	12	12	14	12	12	16	12	14	16	16	14	16	14	16	14	12	16	16	16	12	12	12	16	14	16	16	12	14	16	14	12	12	12	10	16	16	12	12	12	12	16	10	16	14	16	12	16	16	14	14	12	14	16	16	12	16	12	12	14	16	12	12	12	12	12	12	12
14	12	14	16	14	12	16	22	14	22	12	20	22	22	16	12	14	14	14	16	16	14	14	14	14	14	12	12	14	14	14	14	14	14	14	12	22	14	14	14	14	12	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	16	14	14	14	12	14	14	14	14	16	14	14	14	14	14	14	14	14	14	14	14	14	18	14	14	14	14	14	14	14	16	12	16	12	14	14	14	14	14	14	14	14	14	14	14	12	14	14	14	14	14	12	14	14	16	14	14	12	14	12	14	14	14	12	12	14	14	12	14	16	14	16	14	14	14	14	14	14	14	14	14	14	16	14	14	14	16	14	14	14	12	14	14	14	14	18	14	14	16	14	14	14	14	14	14	12	16	14	16	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14
